teh, the
recieve, receive
alot, a lot
wanna, want to
gonna, going to
u, you
ur, your
im, I'm
ive, I've
id, I'd
youre, you're
youve, you've
youll, you'll
youd, you'd
theyre, they're
theyve, they've
theyll, they'll
theyd, they'd
hes, he's
shes, she's
weve, we've
thats, that's
whats, what's
wheres, where's
whens, when's
whys, why's
hows, how's
whos, who's
theres, there's
heres, here's
lets, let's
itll, it'll
dont, don't
doesnt, doesn't
didnt, didn't
cant, can't
couldnt, couldn't
wouldnt, wouldn't
shouldnt, shouldn't
isnt, isn't
arent, aren't
wasnt, wasn't
werent, weren't
havent, haven't
hasnt, hasn't
hadnt, hadn't
wont, won't
neednt, needn't
mustnt, mustn't
yall, y'all
maam, ma'am
oclock, o'clock
